VEHICULO;ANIO;CONTRATO;CLIENTE
FORD F-100;1988;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD FALCON RURAL;1982;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F100;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE 1500 RURAL;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD FALCON;1983;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW POLO;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD ESCORT;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT BOXER;2002;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW GACEL;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE;1965;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 505 SR;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD COURRIER;2001;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
HYUNDAI H100;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT TRAFFIC;1996;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1985;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD ESCORT;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW COUNTRY;2004;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
HYUNDAI ATOS;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1982;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 504;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE 1500;1971;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT SPAZIO;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW SENDA;1993;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1975;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
P 504;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW TRANSPORTER;1999;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
TORINO;1978;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW GACEL;1988;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 19 RE;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R21 GTX;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1965;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD COURRIER;1998;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1974;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT DUCATO;1997;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
CHEVROLET C-10;1985;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD F-100;1986;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DATSUN;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD TAUNUS;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 12 L;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
DODGE 1500;1981;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 12 BR.;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 19;1995;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FIAT128;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
R 18;1990;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD ESCORT;1992;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
IKA TORINO;1984;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
FORD TAUNUS;1980;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
VW 1500 STD;1987;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUGEOT 405 SR;1993;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
PEUG.PARTNER;2000;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 9;1996;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
RENAULT 11 GTL;1989;ICA SEGUROS /// ASISTENCIA AL VEHICULO;OTROS
